City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
7,Hilo,US,83.25,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
9,Itarema,BR,78.84,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
13,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
14,Champerico,GT,83.93,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
15,Lazaro Cardenas,MX,83.68,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
16,Honiara,SB,84.24,few clouds,-9.4333,159.95,Heritage Park Hotel
18,Georgetown,MY,81.23,scattered clouds,5.4112,100.3354,Cititel Penang
20,Sokoto,NG,79.86,clear sky,13.0609,5.239,Grand Ibro Hotel
28,Atuona,PF,78.12,clear sky,-9.8,-139.0333,Villa Enata
38,Kapaa,US,82.72,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Alugan,PH,80.35,overcast clouds,12.2188,125.4808,JM Lodge
42,Tibacuy,CO,81.73,moderate rain,4.3511,-72.4564,hospedaje las palmas
50,Anloga,GH,80.51,clear sky,5.7947,0.8973,Pin Drop Hotel
52,Pandan Niog,PH,83.19,overcast clouds,6.2282,120.5631,
57,Malakal,SS,75.33,broken clouds,9.5334,31.6605,Nile Palace Hotel
59,Pontian Kecil,MY,82.02,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
62,Hithadhoo,MV,81.01,overcast clouds,-0.6,73.0833,Scoop Guest House
63,Carutapera,BR,79.77,scattered clouds,-1.195,-46.02,Lidera
68,Weligama,LK,75.74,overcast clouds,5.9667,80.4167,Weligama Bay Resort
72,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
75,Sola,VU,81.52,clear sky,-13.8833,167.55,Leumerus Bungalows
79,Mana,GF,78.01,heavy intensity rain,5.6592,-53.7767,LE SAMANA
80,Upington,ZA,75.58,clear sky,-28.4478,21.2561,River Place Manor
97,Tual,ID,84.11,broken clouds,-5.6667,132.75,Grand Vilia Hotel
104,Nabire,ID,77.52,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
108,Belmonte,BR,76.33,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
109,Tutoia,BR,79.95,overcast clouds,-2.7619,-42.2744,Pousada Guará's
113,Santa Cruz,BO,87.85,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
115,Kourou,GF,78.85,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
119,Butaritari,KI,81.79,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
121,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
122,San Ignacio,BZ,83.93,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
124,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
128,Faanui,PF,80.42,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
132,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
136,Jizan,SA,85.14,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
139,Kerema,PG,82.33,broken clouds,-7.9631,145.7785,Frena Lodge
143,Galle,LK,76.6,overcast clouds,6.0367,80.217,Amangalla
146,Miandrivazo,MG,78.75,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
149,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
156,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
160,Sanghar,PK,76.84,few clouds,26.0466,68.9481,Goklani House گوکلانی ہائوس
174,Arraial Do Cabo,BR,80.46,few clouds,-22.9661,-42.0278,Pousada Porto Praia
175,Port Blair,IN,80.91,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
176,Poya,NC,81.88,scattered clouds,-21.35,165.15,
190,Luangwa,ZM,83.52,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
196,Lamu,KE,79.02,overcast clouds,-2.2717,40.902,Lamu House
198,Dzilam Gonzalez,MX,81.79,scattered clouds,21.2833,-88.9333,posadas
199,Sao Filipe,CV,80.46,overcast clouds,14.8961,-24.4956,Hotel Xaguate
207,Kupang,ID,78.66,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
215,Laguna,US,76.14,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
216,Carora,VE,81.07,overcast clouds,10.1755,-70.0827,Hotel Irpinia
222,Robertson,US,75.18,clear sky,36.5167,-86.8667,Hampton Inn Springfield
234,Kathu,TH,82.74,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
235,Tautira,PF,78.53,broken clouds,-17.7333,-149.15,Pension Oaoa
238,Tagusao,PH,78.89,overcast clouds,9.1924,117.8141,Caycay future beach resort
239,Remanso,BR,83.73,overcast clouds,-9.6179,-42.0831,Hotel Mangueira
240,Yuli,NG,77.56,overcast clouds,9.6989,10.2744,
245,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
248,Mogadishu,SO,78.24,scattered clouds,2.0371,45.3438,Hotel Juba
250,Salina Cruz,MX,88.48,scattered clouds,16.1667,-95.2,Amerik HOTEL
251,Ishigaki,JP,77.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
256,Merauke,ID,80.56,overcast clouds,-8.4667,140.3333,
260,Nouadhibou,MR,80.58,dust,20.931,-17.0347,El Medina
264,Rurrenabaque,BO,85.41,overcast clouds,-14.4413,-67.5278,Casa de Campo
275,Iquitos,PE,87.84,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
278,Rodrigues Alves,BR,86.2,moderate rain,-7.738,-72.6509,Pousada Aconchego
280,Aswan,EG,76.3,clear sky,24.0934,32.907,Nuba Nile
285,General Pico,AR,77.99,clear sky,-35.6566,-63.7568,Euskadi Hotel
287,Pekan,MY,77.97,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
292,Manaure,CO,82.04,overcast clouds,11.7751,-72.4445,Hotel Palaaima
293,Panaba,MX,84.58,scattered clouds,21.2833,-88.2667,Hotel Don Fernando
299,Eyl,SO,77.34,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
302,Harper,LR,77.45,light rain,4.375,-7.7169,Screensaver
307,Hobyo,SO,79.77,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
309,Mersing,MY,75.11,scattered clouds,2.4312,103.8405,Timotel Hotel
311,Homestead,US,84.2,clear sky,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
314,Chabahar,IR,77.79,few clouds,25.2919,60.643,هتل گدروشیا
315,Kroya,ID,75.25,overcast clouds,-7.6331,109.2461,Wisma Legoq Kost
318,Nioro,GM,79.3,scattered clouds,13.35,-15.75,
